Country,Region,Income Level,Sum of CurrentSupply,Sum of MSMEFinance gap,Sum of MSME Financegap / GDP,Sum of Number ofMSMEs
Afghani-stan,South Asia,Low income,$31962467,$4690624693,24.00%,75864
Albania,"Europe &
Central Asia",Upper mid-dle income,$1678947542,$1077970254,9.00%,78107
Angola,"Sub-Saharan
Africa",Upper mid-dle income,$2707014766,$34178102486,33.00%,27603
"Antigua
and Bar-buda","Latin America
& Caribbean","High
income",$97837209,$287585857,22.00%,3030
Argentina,"Latin America
& Caribbean",Upper mid-dle income,$13240770257,$85883903135,15.00%,589781
Armenia,"Europe &
Central Asia",Lower mid-dle income,$1266114349,$1145072303,11.00%,26166
Azerbaijan,"Europe &
Central Asia",Upper mid-dle income,$6894776091,$6805414229,13.00%,261950
"Bahamas,
The","Latin America
& Caribbean","High
income",$2282670600,$60474014,1.00%,6258
Bangla-desh,South Asia,Lower mid-dle income,$18937042371,$38972713376,20.00%,2761932
Barbados,"Latin America
& Caribbean","High
income",$245721426,$852791724,19.00%,15164
Belarus,"Europe &
Central Asia",Upper mid-dle income,$4492537962,$18424867354,34.00%,80209
Belize,"Latin America
& Caribbean",Upper mid-dle income,$137114912,$462955462,26.00%,7058
Benin,"Sub-Saharan
Africa",Low income,$113662320,$689205366,8.00%,9150
Bhutan,South Asia,Lower mid-dle income,$192401293,$91389034,5.00%,24464
Bolivia,"Latin America
& Caribbean",Lower mid-dle income,$2224300904,$1703075687,5.00%,225451
"Bosnia and
Herzegov-ina","Europe &
Central Asia",Upper mid-dle income,$5332374105,$774689474,5.00%,161295
Botswana,"Sub-Saharan
Africa",Upper mid-dle income,$1425602197,$2669630855,19.00%,13137
Brazil,"Latin America
& Caribbean",Upper mid-dle income,$57048523506,$626023562478,35.00%,15738452
Bulgaria,"Europe &
Central Asia",Upper mid-dle income,$7495751836,$6478198896,13.00%,371299
"Burkina
Faso","Sub-Saharan
Africa",Low income,$382454699,$1609940885,15.00%,41718
Burundi,"Sub-Saharan
Africa",Low income,$227941840,$490969888,16.00%,3799
Cambodia,"East Asia &
Pacific",Lower mid-dle income,$571765294,$3709338045,21.00%,376069
Cameroon,"Sub-Saharan
Africa",Lower mid-dle income,$1661946877,$8714894256,30.00%,93030
Cape Verde,"Sub-Saharan
Africa",Lower mid-dle income,$232061311,$290118728,18.00%,9719
"Central
African
Republic","Sub-Saharan
Africa",Low income,$30623390,$242920736,16.00%,22326
Chad,"Sub-Saharan
Africa",Low income,$282238635,$1134072276,10.00%,5170
Chile,"Latin America
& Caribbean",High income,$21856804104,$8433423295,4.00%,834085
China,"East Asia &
Pacific",Upper mid-dle income,$2483952766729,$1890328123161,17.00%,56061600
Colombia,"Latin America
& Caribbean",Upper mid-dle income,$4573057029,$56207522736,19.00%,2311539
"Congo,
Dem. Rep.","Sub-Saharan
Africa",Low income,$446934153,$9304515830,26.00%,319090
Costa Rica,"Latin America
& Caribbean",Upper mid-dle income,$5050556846,$4765025589,9.00%,41068
"Côte
d’ivoire","Sub-Saharan
Africa",Lower mid-dle income,$1426843718,$2355285515,7.00%,203491
Croatia,"Europe &
Central Asia",High income,$7256471842,$9496554331,19.00%,153262
"Czech
Republic","Europe &
Central Asia",High income,$29935445460,$71491146931,39.00%,939049
Djibouti,"Middle East &
North Africa",Lower mid-dle income,$65413570,$146558734,9.00%,2805
Dominica,"Latin America
& Caribbean",Upper mid-dle income,$57579279,$69096974,13.00%,2433
"Dominican
Republic","Latin America
& Caribbean",Upper mid-dle income,$3474739423,$12959360152,19.00%,791236
Ecuador,"Latin America
& Caribbean",Upper mid-dle income,$4049685700,$17937808957,18.00%,700999
"Egypt,
Arab Rep.","Middle East &
North Africa",Lower mid-dle income,$2819748677,$46722358190,14.00%,2453567
Estonia,"Europe &
Central Asia",High income,$2253754880,$5273410808,23.00%,65907
Ethiopia,"Sub-Saharan
Africa",Low income,$1687733587,$4290163843,7.00%,136633
Fiji,"East Asia &
Pacific",Upper mid-dle income,$251675667,$1084830273,25.00%,10011
"Gambia,
The","Sub-Saharan
Africa",Low income,$50651573,$97953281,12.00%,9558
Georgia,"Europe &
Central Asia",Upper mid-dle income,$1169986126,$2486794402,18.00%,106858
