country,Sum of  GDP [2015],Sum of % Female SME,Sum of % Micro Female,Current Supply,Sum of Current Volume / GDP,Sum of Female_Fully Constrained,Sum of Female_Fully Constrained %,Sum of Female_Partly Constrained,Sum of Female_Partly Constrained %,Sum of Female_Unconstrained,Sum of Female_Unconstrained %,Sum of Finance gap / Current Volume,Sum of Finance Gap / GDP,incomelevel,Sum of Informal as % of Formal,Sum of Informal Potential Demand,Sum of informal2007,Sum of Male_Fully Constrained,Sum of Male_Fully Constrained %,Sum of Male_Partly Constrained,Sum of Male_Partly Constrained %,Sum of Male_Unconstrained,Sum of Male_Unconstrained %,Sum of micro % of gdp CURRENT SUPPLYl demand,Sum of micro % of gdp FINANCIAL GAP,Sum of micro % of gdp potential demand,Sum of Micro Men Gap,Sum of Micro Women Gap,Sum of Micro_Fully Constrained,Sum of Micro_Fully Constrained %,Sum of Micro_Partly Constrained,Sum of Micro_Partly Constrained %,Sum of Micro_Unconstrained,Sum of Micro_Unconstrained %,Sum of Micro: Current Volume,Sum of Micro: Finance Gap,Sum of Micro: Potential Demand,Sum of MSME Finance gap,Sum of Number of Micro - Men,Sum of Number of Micro - Women,Sum of Number of Microenterprises,Sum of Number of MSMEs,Sum of Number of SMEs,Sum of Number of SMEs - Men,Sum of Number of SMEs - Women,Sum of Potential Demand,Sum of Potential Demand / GDP,region,Sum of SME % OF GDP TO CURRENT SUPPLY,Sum of SME % OF GDP TO FINANCIAL GAP,Sum of SME % OF GDP TO POTENTIAL DEMAND,Sum of SME Men Gap,Sum of SME Women Gap,Sum of SME_Fully Constrained,Sum of SME_Fully Constrained %,Sum of SME_Partly Constrained,Sum of SME_Partly Constrained %,Sum of SME_Unconstrained,Sum of SME_Unconstrained %,Sum of SME: Current Volume,Sum of SME: Finance Gap,Sum of SME: Potential Demand,Source - Current Supply,Source - Number of Micro Enterprises,Source - Number of SMEs
Afghanistan,$19199438848,3.08%,1.18%,$31962466.79,0.17%,$805.6590427,67.61%,125.0598068,10.50%,260.8444258,21.89%,146.7541515,24.43%,Low income,,0,,30131.14045,40.35%,10612.82947,14.21%,33927.99038,45.44%,0.00%,9.00%,9.00%,1728057460,$0,23579.00014,39.20%,8721.502727,14.50%,27853.34328,46.30%,$0,$1728057460,$1728057460,$4690624693,59446.15385,707.6923077,60153.84615,75863.52357,15709.67742,15225.80645,483.8709677,$4722587159,24.60%,South Asia,0.17%,15.43%,15.60%,2849051343,$113515890,6646.803253,42.31%,2175.888538,13.85%,6886.985628,43.84%,$31962466.79,$2962567233,$2994529700,FAS,Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
Albania,$11455595520,5.44%,12.45%,$1678947542,14.66%,$1828.716532,19.77%,797.1252716,8.62%,6625.231376,71.62%,0.642051182,9.41%,Upper middle income,49.03%,1351752541,0.329,10850.01361,15.76%,5680.289481,8.25%,52325.62373,75.99%,3.08%,2.29%,5.37%,247803075.3,$14149574.21,6976.22948,9.77%,2007.750581,2.81%,62387.01994,87.41%,$352774240.5,$261952649.5,$614726890,$1077970254,62486.64315,8884.356846,71371,78107,6736,6369.283668,366.7163324,$2756917796,24.07%,Europe & Central Asia,11.58%,7.12%,18.70%,776475069.7,$39542534.47,1639.051532,24.33%,1028.336365,15.27%,4068.612102,60.40%,$1326173302,$816017604.1,$2142190906,Predicted,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Angola,$102643000000,30.38%,46.40%,$2707014766,2.64%,$2960.23161,25.77%,752.84105,6.55%,7775.9321,67.68%,12.62575399,33.30%,Upper middle income,72.71%,26819748468,0.421,7111.546503,44.13%,1911.593805,11.86%,7090.854933,44.00%,0.00%,0.88%,0.88%,654555254.9,$247329949.7,8483.063487,43.79%,2415.820578,12.47%,8472.115934,43.74%,$0,$901885204.6,$901885204.6,$34178102486,10382.856,8988.144,19371,27603,8232,5731.139241,2500.860759,$36885117252,35.94%,Sub-Saharan Africa,2.64%,32.42%,35.06%,24479527361,$8796689920,2915.834713,35.42%,761.8921815,9.26%,4554.273105,55.32%,$2707014766,$33276217281,$35983232048,Predicted,http://www.ine.gov.ao/xportal/xmain?xpid=ine&xpgid=stats&actualmenu=787287&actualmenu=1923589#,http://www.ine.gov.ao/xportal/xmain?xpid=ine&xpgid=stats&actualmenu=787287&actualmenu=1923589#
Antigua and Barbuda,$1297285376,15.94%,17.45%,$97837209.45,7.54%,$42.52007086,8.21%,145.6897479,28.15%,329.399743,63.64%,2.939432332,22.17%,High income,,0,,139.2647514,5.54%,724.1223804,28.82%,1649.310999,65.64%,0.65%,3.64%,4.30%,33981071.2,$13267828.19,27.68043995,1.21%,520.6215736,22.71%,1744.005679,76.08%,$8480894.762,$47248899.39,$55729794.15,$287585856.7,1892.307692,400,2292.307692,3030.307692,738,620.3904382,117.6095618,$385423066.2,29.71%,Latin America & Caribbean,6.89%,18.53%,25.41%,227000722.6,$13336234.68,63.36488364,8.59%,236.1057757,31.99%,438.5293406,59.42%,$89356314.69,$240336957.3,$329693272,Predicted,Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
Argentina,$583169000000,8.54%,25.64%,$13240770257,2.27%,$73695.91232,60.43%,25251.41459,20.71%,22997.40492,18.86%,6.486322281,14.73%,Upper middle income,29.87%,29608668675,0.23,80675.25716,17.24%,266847.0629,57.04%,120313.9481,25.72%,0.38%,3.31%,3.68%,18364155178,$921843447.4,135166.6859,32.29%,203573.0546,48.62%,79921.25946,19.09%,$2187167026,$19285998625,$21473165652,$85883903135,311337.0682,107323.9318,418661,589781,171120,156499.2,14620.8,$99124673392,17.00%,Latin America & Caribbean,1.90%,11.42%,13.32%,64841057700,$1756846809,34692.50887,20.27%,89873.11503,52.52%,46554.3761,27.21%,$11053603231,$66597904509,$77651507740,FAS,"Caracterización y evolución de la cantidad de empresas. Serie annual, 2014","Caracterización y evolución de la cantidad de empresas. Serie annual, 2014"
Armenia,$10561400832,17.66%,22.68%,$1266114349,11.99%,$872.1143661,15.44%,1204.667585,21.33%,3569.853961,63.22%,0.904398804,10.84%,Lower middle income,69.78%,1682508853,0.411,4870.662109,23.74%,2490.728258,12.14%,13157.97372,64.12%,0.43%,1.22%,1.65%,100340812.1,$28311518.18,5786.196641,28.34%,1933.605613,9.47%,12697.19775,62.19%,$45285616.83,$128652330.2,$173937947.1,$1145072303,15785.82683,4631.173171,20417,26166,5749,4733.537259,1015.462741,$2411186652,22.83%,Europe & Central Asia,11.56%,9.62%,21.18%,826229612.7,$190190360.2,1095.380696,19.05%,933.1676414,16.23%,3720.451663,64.71%,$1220828733,$1016419973,$2237248705,Predicted,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Azerbaijan,$53047140352,2.56%,2.94%,$6894776091,13.00%,$2791.892896,36.48%,0,0.00%,4860.519957,63.52%,0.987039193,12.83%,Upper middle income,108.33%,14841872847,0.52,77757.72587,30.58%,25541.05477,10.04%,150998.8065,59.38%,0.78%,3.01%,3.79%,1590176149,$8143983.514,89284.88212,35.96%,13479.13569,5.43%,145527.9822,58.61%,$411401768.9,$1598320133,$2009721902,$6805414229,240989.2941,7302.705882,248292,261950,13658,13308.29303,349.7069701,$13700190321,25.83%,Europe & Central Asia,12.22%,9.82%,22.04%,5145533361,$61560735.56,3966.341336,29.04%,1525.812913,11.17%,8165.845751,59.79%,$6483374322,$5207094097,$11690468419,Predicted,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
"Bahamas, The",$8884441088,31.97%,50.00%,$2282670600,25.69%,$326.1264096,11.64%,628.5801993,22.43%,1847.736157,65.93%,0.026492659,0.68%,High income,35.50%,831848087.8,0.262,128.7008625,3.72%,1532.194874,44.34%,1795.017805,51.94%,0.16%,0.56%,0.71%,34313662.55,$15216901.53,549.6245332,12.36%,1996.018742,44.89%,1900.510571,42.75%,$13843559.24,$49530564.08,$63374123.31,$60474014.14,2223.076923,2223.076923,4446.153846,6258.356308,1812.202462,1232.836619,579.3658429,$2343144614,26.37%,Latin America & Caribbean,25.54%,0.12%,25.66%,10096068.61,$847381.4505,57.10166521,3.15%,539.5655668,29.77%,1215.53523,67.08%,$2268827040,$10943450.06,$2279770490,Predicted,Enterprise Surveys -- rescaled,Original Gap analysis
Bangladesh,$195079000000,4.50%,5.58%,$18937042371,9.71%,$179528.6818,42.17%,79399.53317,18.65%,166841.0311,39.19%,2.058014795,19.98%,Lower middle income,51.75%,29965442656,0.341,2431233.47,32.97%,1190905.7,16.15%,3752091.584,50.88%,0.24%,1.46%,1.70%,2756085162,$93733935.16,2774168.747,40.21%,1112901.138,16.13%,3012930.115,43.67%,$459832984.7,$2849819097,$3309652081,$38972713376,6514720.812,385279.1878,6900000,7800000,900000,859509.9418,40490.05824,$57909755748,29.69%,South Asia,9.47%,18.52%,27.99%,33712076313,$2410817966,288271.7403,32.03%,147909.02,16.43%,463819.2397,51.54%,$18477209387,$36122894280,$54600103666,FAS, Bangladesh Bureau of Statistics (Economic Units Census) 2013., Bangladesh Bureau of Statistics (Economic Units Census) 2013.
Barbados,$4450999808,24.51%,28.53%,$245721426.4,5.52%,$0,0.00%,605.1735889,14.43%,3588.82596,85.57%,3.470563136,19.16%,High income,,0,,20.82114812,0.19%,2566.491756,23.40%,8382.278794,76.41%,0.01%,4.93%,4.94%,149063846.7,$70404006.88,0,0.00%,1065.478337,8.98%,10796.06012,91.02%,$523264.7584,$219467853.6,$219991118.4,$852791724.2,8476.923077,3384.615385,11861.53846,15163.59125,3302.052786,2492.668622,809.3841642,$1098513151,24.68%,Latin America & Caribbean,5.51%,14.23%,19.74%,565491367.1,$67832503.48,8.891311629,0.27%,1065.585145,32.27%,2227.576329,67.46%,$245198161.7,$633323870.6,$878522032.3,Predicted,Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
