State/UT,Sum of male,Sum of female,Sum of person
Andaman & N. Island,67,33.6,50.8
Andhra Pradesh,59.3,34.8,46.8
Arunachal Pradesh,56.3,47.7,52.1
Assam,60.2,24.7,42.6
Bihar,47.2,10.2,29.1
Chandigarh,59.5,24.7,43
Chhattisgarh,63.1,42.5,52.8
Dadra & Nagar Haveli & Daman & Diu,66.4,32.7,51.2
Delhi,53.7,14.1,35.6
Goa,56.3,22.7,39.8
Gujarat,62.1,28.3,45.8
Haryana,53.3,18.4,37.1
Himachal Pradesh,62,51.5,56.8
Jammu & Kashmir,54.4,19.5,37.5
Jharkhand,50.2,18.7,34.6
Karnataka,59.4,29,44.3
Kerala,55.7,25.8,39.8
Ladakh,55.5,37.2,47.1
Lakshadweep,61.2,12.2,38
Madhya Pradesh,58.7,18.7,39.3
Maharashtra,60.7,31,46.2
Manipur,52.5,35.6,43.9
Meghalaya,53.7,40.7,47
Mizoram,50.2,30.4,40.4
Nagaland,54.7,38.9,46.7
Odisha,60,25.4,42.3
Puducherry,57,26.1,41
Punjab,62.2,22.5,42.6
Rajasthan,55.6,30.2,42.9
Sikkim,65.1,55.2,60.5
Tamil Nadu,59,30.8,44.6
Telangana,58.7,34.5,46.4
Tripura,62.6,34.5,48.4
Uttar Pradesh,52.9,14.1,33.8
Uttarakhand,54.3,25.4,40
West Bengal,62.9,18.1,40.4
