State/UTs,Women Owned MSMEs,WomenMSMEPercentage,Men Owned MSMEs
Andaman and Nicobar Islands,4655,26.955816781516013,12614
Andhra Pradesh,1332126,49.89262115981133,1337860
Arunachal Pradesh,11683,41.190988259351975,16680
Assam,331016,34.17849605365868,637476
Bihar,1525287,48.99511458041894,1587854
Chandigarh,14304,23.63594302521564,46214
Chhattisgarh,412172,41.82818428789326,573221
Dadra and Nagar Haveli and Daman and Diu,6739,0,-6739
Delhi,276746,26.248119687465028,777600
Goa,38561,38.36075684924693,61961
Gujarat,912052,27.625641797636142,2389417
Haryana,390068,26.925195518771872,1058642
Himachal Pradesh,52568,21.297853117416125,194255
Jammu and Kashmir,154080,22.742435424354245,523420
Jharkhand,550417,47.13676948399506,617285
Karnataka,1656845,44.43913079978875,2071502
Kerala,606823,45.87843130139203,715853
Ladakh,4872,29.058809495407374,11894
Lakshadweep,446,22.989690721649485,1494
Madhya Pradesh,1349621,37.045441444903446,2293529
Maharashtra,2535077,34.06475600767811,4906858
Manipur,65068,52.67725587344765,58454
Meghalaya,16810,44.29745968166966,21138
Mizoram,24140,59.14347314778519,16676
Nagaland,26858,52.26512026153966,24530
Odisha,779711,43.45674980200343,1014512
Puducherry,40235,48.18793714668966,43261
Punjab,491259,30.48760658830539,1120081
Rajasthan,815207,25.055415267198093,2438409
Sikkim,10046,45.01501097817807,12271
Tamil Nadu,1926040,42.24979199100094,2632657
Telangana,948659,44.08791194491538,1203085
Tripura,162406,65.43088513758511,85804
Uttar Pradesh,1968385,32.33229587988405,4119599
Uttarakhand,146090,31.012046913973357,324985
West Bengal,2486603,60.80718964797116,1602721
